model,budget,class,precision,recall,f1_score,support
svm,single_fit,0,96.43435980551054,71.6867469879518,82.23911541119557,830
svm,single_fit,1,83.00604229607251,97.34278122232064,89.60456583774969,1129
svm,single_fit,2,86.61825726141079,87.34309623430963,86.97916666666666,956
svm,single_fit,3,97.48953974895397,48.09081527347781,64.4091223220456,969
svm,single_fit,4,78.38565022421524,91.61425576519916,84.48525857902368,954
svm,single_fit,5,62.54071661237784,72.36180904522614,67.09376820034944,796
svm,single_fit,6,93.60000000000001,94.60916442048517,94.10187667560321,742
svm,single_fit,7,86.98770491803278,83.72781065088756,85.32663316582915,1014
svm,single_fit,8,60.36036036036037,69.0721649484536,64.42307692307693,582
svm,single_fit,9,60.423634336677814,73.6413043478261,66.38089406001225,736
nearest_centroid,single_fit,0,86.2547288776797,82.40963855421687,84.28835489833642,830
nearest_centroid,single_fit,1,68.34239130434783,89.10540301151461,77.35486351403307,1129
nearest_centroid,single_fit,2,77.35849056603774,81.48535564853556,79.3683138053999,956
nearest_centroid,single_fit,3,80.64516129032258,67.07946336429309,73.23943661971832,969
nearest_centroid,single_fit,4,77.91479820627802,72.85115303983228,75.2979414951246,954
nearest_centroid,single_fit,5,66.66666666666666,60.55276381909548,63.462804476629366,796
nearest_centroid,single_fit,6,89.03133903133903,84.23180592991913,86.56509695290858,742
nearest_centroid,single_fit,7,86.17977528089888,75.64102564102564,80.5672268907563,1014
nearest_centroid,single_fit,8,73.23135755258127,65.80756013745705,69.32126696832579,582
nearest_centroid,single_fit,9,52.77777777777778,64.53804347826086,58.06845965770171,736
knn_k1,single_fit,0,94.54828660436138,73.13253012048193,82.47282608695652,830
knn_k1,single_fit,1,71.66666666666667,91.40832595217006,80.3425457376411,1129
knn_k1,single_fit,2,88.32116788321169,75.94142259414227,81.66479190101236,956
knn_k1,single_fit,3,81.85483870967742,62.848297213622295,71.10332749562171,969
knn_k1,single_fit,4,71.55080213903743,70.12578616352201,70.83112758073055,954
knn_k1,single_fit,5,66.14173228346458,52.76381909547738,58.700209643605874,796
knn_k1,single_fit,6,81.33022170361727,93.93530997304582,87.17948717948718,742
knn_k1,single_fit,7,71.97943444730078,82.84023668639054,77.02888583218707,1014
knn_k1,single_fit,8,51.44404332129964,48.96907216494845,50.176056338028175,582
knn_k1,single_fit,9,52.52192982456141,65.08152173913044,58.13106796116505,736
knn_k3,single_fit,0,91.51785714285714,74.09638554216868,81.89081225033289,830
knn_k3,single_fit,1,63.669950738916256,91.58547387068202,75.11805303305485,1129
knn_k3,single_fit,2,83.33333333333334,77.92887029288703,80.54054054054053,956
knn_k3,single_fit,3,79.61956521739131,60.474716202270386,68.73900293255132,969
knn_k3,single_fit,4,68.07851239669421,69.07756813417191,68.57440166493237,954
knn_k3,single_fit,5,65.39792387543253,47.48743718592965,55.021834061135365,796
knn_k3,single_fit,6,82.7710843373494,92.58760107816711,87.40458015267176,742
knn_k3,single_fit,7,73.46014492753623,79.98027613412229,76.58168083097262,1014
knn_k3,single_fit,8,51.35135135135135,45.70446735395189,48.36363636363637,582
knn_k3,single_fit,9,53.18877551020408,56.65760869565217,54.868421052631575,736
knn_k5,single_fit,0,93.60374414976599,72.28915662650603,81.57715839564922,830
knn_k5,single_fit,1,63.40450771055753,94.68556244464128,75.95026642984014,1129
knn_k5,single_fit,2,86.99654775604144,79.07949790794979,82.84931506849314,956
knn_k5,single_fit,3,79.67914438502673,61.50670794633643,69.42341292952825,969
knn_k5,single_fit,4,66.38095238095238,73.06079664570231,69.56087824351297,954
knn_k5,single_fit,5,64.71600688468159,47.23618090452261,54.61147421931736,796
knn_k5,single_fit,6,82.12083847102343,89.75741239892183,85.76947842884739,742
knn_k5,single_fit,7,74.41441441441441,81.4595660749507,77.77777777777779,1014
knn_k5,single_fit,8,55.22682445759369,48.10996563573883,51.42332415059688,582
knn_k5,single_fit,9,53.61702127659574,51.358695652173914,52.463566967383755,736
mlp,1epoch,0,94.74262371455347,76.43373493975903,83.67440964572386,830
mlp,1epoch,1,65.9302681786327,97.4313551815766,78.38664894284523,1129
mlp,1epoch,2,85.46511936822378,83.03347280334728,83.7609171653993,956
mlp,1epoch,3,92.78617900143203,29.907120743034056,38.560208910520636,969
mlp,1epoch,4,68.26697556691059,88.11320754716981,75.81793500575976,954
mlp,1epoch,5,48.372534722894834,37.33668341708543,35.306895564465705,796
mlp,1epoch,6,88.90202854774073,72.83018867924528,78.4307438902515,742
mlp,1epoch,7,81.21673830624141,78.12623274161736,78.44127109660371,1014
mlp,1epoch,8,42.23687326952687,42.19931271477664,32.84017888360281,582
mlp,1epoch,9,53.71629581797415,42.36413043478261,43.89298058158649,736
mlp,converged,0,94.75108091075944,74.45783132530121,83.21194905861907,830
mlp,converged,1,77.64868221768445,97.25420726306467,86.2012835079712,1129
mlp,converged,2,91.82048295947503,78.24267782426777,84.44954700906445,956
mlp,converged,3,94.07215171614594,55.72755417956656,69.75459857016092,969
mlp,converged,4,74.04587428885608,90.48218029350105,81.3076269343575,954
mlp,converged,5,66.22503014421783,65.10050251256281,65.09318938167935,796
mlp,converged,6,86.11126488445703,90.75471698113208,88.23044678453604,742
mlp,converged,7,82.20973996076728,70.01972386587772,74.92623040563743,1014
mlp,converged,8,60.59717266219574,53.161512027491405,56.551922701515956,582
mlp,converged,9,47.6926253850976,69.8641304347826,56.163668340043955,736
cnn,1epoch,0,94.97240107213433,52.626506024096386,61.133659649991316,830
cnn,1epoch,1,74.70882934672251,89.84942426926484,80.09583670603995,1129
cnn,1epoch,2,78.70706841324427,77.17573221757321,76.47634090089485,956
cnn,1epoch,3,46.6073334975774,18.637770897832816,20.43444302820198,969
cnn,1epoch,4,54.035881686530274,88.44863731656184,64.36423844052426,954
cnn,1epoch,5,69.21841473174969,18.266331658291456,17.124720423064783,796
cnn,1epoch,6,80.09544833382748,61.159029649595674,63.98298128944818,742
cnn,1epoch,7,85.57627742503863,76.5680473372781,80.27294225731355,1014
cnn,1epoch,8,29.0668121965597,67.31958762886597,38.123090232214615,582
cnn,1epoch,9,35.90325956643851,21.358695652173914,21.661697724405688,736
cnn,converged,0,91.34161999769958,73.20481927710844,80.77008001668769,830
cnn,converged,1,77.29558664867442,96.84676705048716,85.78395887921779,1129
cnn,converged,2,87.88835946985571,80.56485355648536,84.06168702180491,956
cnn,converged,3,92.56808437520803,50.835913312693506,65.25151398832224,969
cnn,converged,4,80.05857057284379,87.67295597484275,83.62503842794752,954
cnn,converged,5,61.271968735754356,69.92462311557789,65.23045637860639,796
cnn,converged,6,85.73106409697827,91.9946091644205,88.58082296434348,742
cnn,converged,7,85.46422761735411,68.3826429980276,75.86479610808294,1014
cnn,converged,8,61.69514564788714,45.25773195876288,51.849326688181485,582
cnn,converged,9,47.70752252672525,76.52173913043478,58.43410400436303,736
