trial,accuracy,cost_impossible,cost_minor,cost_no_match,fgw_alpha,gap_general_severe,gap_minor_general,ged_timeout,norm_angle,norm_cycle,norm_hdir,norm_vdir,norm_x,norm_y,simplification_epsilon,skel_threshold,use_angle_with_ox,use_cycle_count,use_horizontal_direction,use_normalized_x,use_normalized_y,use_vertical_direction
1,0.7172909184197024,1.3603546136118079,0.3061978796339918,0.9871934244034433,0.37704931647041523,0.08900466011060913,0.19966462104925914,14.310000289738827,224.1485131528328,2.6842185514853143,2.3366475107128326,2.011807565247405,1.325320294340452,1.8690900933179198,1.318212352431953,120,1,1,1,1,1,0
3,0.7062146892655368,1.3603546136118079,0.3061978796339918,0.9871934244034433,0.37704931647041523,0.08900466011060913,0.19966462104925914,14.310000289738827,224.1485131528328,2.6842185514853143,2.3366475107128326,2.011807565247405,1.325320294340452,1.8690900933179198,1.318212352431953,120,1,1,1,1,1,0
4,0.5544147843942505,15.249965725213555,0.1782266451527921,1.0396085385900318,0.14670398343900098,0.2462939903482534,0.16401749605425897,5.090025079493055,183.31191853894455,1.415286761335841,2.894815592792549,2.0405337280886044,1.870761961280168,0.9395245130287274,4.137788066524075,220,1,0,1,1,0,0
5,0.4948665297741273,18.113265448033378,0.14057299356000594,1.424081625413373,0.04370075069291403,0.12792776902235276,0.21563057108849548,13.73048562910295,300.0581282031753,2.535117738304219,1.6386561576714251,1.860370513913187,1.3819228808861534,0.7035228000974213,0.8982162592336378,210,1,1,1,0,1,1
6,0.5894141829393628,186.57628587792436,0.239943629105387,0.8894607724157251,0.3596182601597175,0.2505492451885099,0.08523105624369066,4.933083135623331,32.24542260010827,2.981735186394869,3.5208619905645775,2.6815434438964525,2.113095778449227,1.0214107678630837,0.8332009328034067,200,1,1,0,1,0,1
7,0.6551901336073997,1.8844731205676566,0.3053621624183224,1.3666579101943392,0.31476267528134894,0.2718031856440816,0.2093893678388033,5.552566508374459,327.64826587413256,4.314280183735271,2.7274364394232316,1.6002459337671433,0.98551142146987,0.6414313355903041,0.6143860703484283,150,1,0,1,1,1,1
8,0.6338461538461538,2.3494976659006936,0.31444289849006707,1.1477017434965218,0.25430638456589744,0.06924497745719825,0.10719954137290562,6.745360922498817,159.48772601918972,2.209513719064563,1.6130121624015237,0.8851817358468687,4.133480698238281,4.53241084965572,2.927040088620428,210,0,1,1,1,1,1
9,0.5035897435897436,1.8871820873117502,0.05243324568591675,1.0665293725648763,0.8116544706040433,0.15435275078719474,0.17768682564439142,13.050228165588809,223.34751689296388,0.776652105158996,1.5530740843586939,1.4969417303211365,1.6330203312141387,2.7376182765157346,4.8310128272395,220,0,1,0,0,1,1
10,0.6757311441765008,13.373512342721174,0.147526262482814,0.9738738465094677,0.5026254427642842,0.10989047266674311,0.2770664714916634,1.720702517499851,75.28147863994899,2.905850487288019,0.8160141951904291,3.423558734562333,3.3508836984240262,2.910986078336413,3.3453762376711076,140,1,0,1,1,0,1
11,0.5570987654320988,30.518412800890275,0.28714752664479887,1.0717949302375256,0.04995963872366864,0.17802326457482026,0.05414695723196404,9.272501204635386,195.37770242460226,4.664006086995967,2.8099441611196267,3.3602777007042555,4.448027090214414,1.6607373247182002,4.661121282253532,110,0,0,0,0,1,1
12,0.6908063687724705,6.361238898446569,0.3640255152836644,1.206835749258441,0.24701524508244266,0.208275364318317,0.2751045142908326,2.3034387492825887,66.28281799612454,0.5379618788466402,0.8551504000311123,2.8222561918781954,3.2289307684681545,0.5413867322748334,4.543493848371857,120,0,1,1,1,1,1
13,0.7051874678993323,5.607308700117542,0.2781864408259102,1.0846989049961602,0.5477591135792544,0.22804480533688398,0.10606732736513995,10.686532767697706,288.18395623957696,5.233539694979472,1.8758420363336614,3.6221629431198963,1.597953395205876,4.878547496386005,1.6934106545677645,140,0,1,1,1,1,1
14,0.6503352243424445,1.1375009502510647,0.22238119283660238,1.136926834929027,0.5025843512430883,0.23061302881537632,0.09881074694951113,9.076654384769027,144.78420501067384,2.708366690521893,3.872669919812385,3.4855330941357603,2.4268286674279143,4.849946685696513,4.677433531644764,100,0,1,1,1,0,1
15,0.6384180790960452,20.498772319126136,0.10932246134013238,1.6352357560099675,0.8441139380865198,0.28403869354019523,0.18920031561458756,5.4369080721878875,313.47531150303627,6.575850460093855,1.5275714549257269,3.3327640441747977,3.6611783779419915,2.1177101804888983,3.636570834478706,190,1,1,1,0,1,0
16,0.5547557840616967,67.78643631927991,0.22553070314051987,1.642360252709244,0.9049757415053419,0.21249098269444128,0.24957379474169378,8.158793584053129,136.06672449394202,6.669504204947437,0.606750874786673,0.6307186606222505,1.7894356345772797,3.1587496725605484,2.9419008561840947,160,0,1,0,1,0,0
17,0.6851851851851852,1.3149861862224201,0.3194977435845138,0.9024169579925216,0.13451930239884707,0.20572261895475008,0.1039552568742108,8.311405640767262,302.59304217927206,7.719863110084438,0.7745973346979309,0.5887276019541012,1.718745130679334,2.4753713931753625,4.078337876459167,140,1,1,1,1,1,1
18,0.6745501285347044,44.08660466885441,0.11065301202479604,1.4590719976473445,0.692054721971824,0.11256072454114883,0.08910926066777151,6.725341221799779,24.255080811639548,0.8450198151631456,0.5503772102041455,0.9062542417742068,2.1018770539306773,3.910307497089661,1.6147894527552085,150,1,1,1,1,0,1
19,0.5143737166324436,2.5034717668752746,0.21596084018056383,1.3681661249366788,0.8483513723307871,0.1729039687792081,0.07445854016275037,10.851210031320331,19.278958689567634,5.318144586547367,1.070270494785004,0.7469906159015045,4.35420428534745,3.4641213422852526,2.7641131636103946,180,0,0,1,0,0,1
20,0.5766460905349794,18.00862681011283,0.25141596225655766,1.34990346858982,0.5840600696479941,0.21082205461058828,0.14704248155163047,14.163223379949406,18.145177507539053,6.836564832270909,0.7491602696108015,1.6164147060281646,0.9249933234016778,3.5735304803736057,0.5819982154319738,110,0,0,1,1,0,1
21,0.6402877697841727,49.13834449832336,0.09135768966757969,1.8529664162324635,0.808179112937157,0.20723571169497101,0.22418429134103768,4.945966846827599,272.8048737270241,3.7174552053126377,3.7576506396124767,3.504444631450541,3.9938583233389857,2.03361593113858,2.1740813860675243,150,1,1,0,1,0,1
23,0.4524910118130457,28.021806913050334,0.22080121749535575,1.1588928380724908,0.6102410387116047,0.1679556885011343,0.15482324766260194,10.312068435095773,174.61861809142277,6.120245826287341,1.4124090343341689,1.5895688593897817,2.795932489228479,2.7919962925126875,1.8248309418556752,170,1,1,0,0,0,1
24,0.6111967128916281,40.109415914071654,0.1498577388129111,1.604095356411202,0.6876643693562412,0.19659734462056327,0.1522952958512621,7.7022857298498,100.62407975440449,3.2802516054430795,1.2831568321301117,2.6681537545713754,3.2100392435618375,2.8178589802826344,2.24439085082712,150,0,0,0,0,0,0
26,0.6100564391995895,19.51667609088219,0.23697764449339426,1.162490624959244,0.25129923158690926,0.18167173490184202,0.16901039048527772,11.070981183656038,202.0563810326206,2.7365951802402555,1.5344929769222972,2.1903857869736,1.8996323787878817,3.3744113285627018,0.9858235323380323,190,1,0,1,1,0,1
27,0.6741918932786044,14.127984717770536,0.18005416131855267,1.4727189322332424,0.3189104762036375,0.2095328360817869,0.2147673435169573,8.53765981618025,226.39882340853634,3.6634085416127586,2.6874042039715147,2.1885810402851478,2.300368075414533,2.2798269224069476,2.9074907076519687,160,0,0,1,1,1,1
28,0.6680369989722508,9.471816031916921,0.27018131471694523,1.7710786757466837,0.5090360120281806,0.21631344682732562,0.24729433213907476,10.760227268498605,224.64606595948578,3.4522827540329133,1.0427869878134202,2.2085452268270185,1.610229512925034,2.3129940110482066,4.346668088333511,140,0,1,1,1,0,1
29,0.5282340862422998,175.93127069614096,0.2951570143292142,1.5196954581154287,0.39600204629345115,0.14933993301439108,0.10031640913254108,5.9452913851255484,220.56771392225903,2.4634418112263177,1.80553550544946,2.4197646807759283,3.6731731214927947,2.288117556831229,3.2133489719944506,160,1,0,0,0,0,1
30,0.4191893278604413,17.112134196419422,0.23812736594097916,1.2431386263323978,0.6877276342799143,0.15873310921830996,0.13805688943184136,8.014635037479556,250.1067231314882,5.132235663329281,3.09314363751147,2.235042683694341,2.9203298318487736,2.481445055539405,2.7620245896497058,140,0,1,1,0,0,1
31,0.46687211093990755,26.298104583183314,0.18792320750542196,1.297256749669404,0.40555405885097096,0.17721225417459585,0.1631048013745618,12.222283938252904,156.2620715162668,5.341496003164505,2.6778205309580576,1.7674279991512662,2.4120661677397193,1.2774588007858503,4.208644787028698,180,1,1,0,0,0,0
32,0.5495125705489995,14.120716270385953,0.19435982764549303,1.75628820032519,0.6112964518455987,0.19156979443380323,0.1530460471694064,5.63942899342562,159.08039445714795,3.8697061541922646,1.5699323868278385,2.8519363117724783,1.0794965167717026,2.897070494788979,1.6452645334576086,200,0,0,0,1,0,1
34,0.6139630390143738,4.703347575389068,0.20516204652364656,1.1195041481176737,0.3772658860407096,0.16417246573279237,0.06299561127616811,8.466753294640736,151.08735355539608,5.737715763417375,3.682429028016147,2.5374515553526336,1.711693998790588,1.6911637338830883,3.270598389386016,140,1,1,1,0,1,0
35,0.5566957414058491,11.377307039208036,0.22930333423028143,1.5200425320983868,0.2599986543852932,0.21432283457157197,0.20712136197027847,4.747894121803235,218.808992882122,2.5250573974655697,2.691621168442829,1.514413074256183,2.180974349307813,1.9247501923732546,2.856503914035648,170,1,0,0,0,1,1
36,0.5565262076053443,31.07580619108148,0.14892858647737825,1.3673540244085804,0.7005593676764409,0.20469893674431,0.1638548928629145,11.35591575897192,275.1343560857435,4.044059971083927,2.807608118909878,1.3311613549388972,2.5802549886645822,3.2360818904946123,2.6578088788373755,140,1,0,0,0,0,1
37,0.6019517205957884,10.242733268556986,0.2196242346133901,1.302801564683299,0.48929830258874496,0.15890036941048286,0.16953767505279427,7.845386845712679,198.4140968607292,1.825606503212396,1.3721116582595967,2.337324554556554,3.755580566812265,1.7896249129849267,3.1027105098429604,180,0,1,0,1,0,1
38,0.6663239074550128,7.5922191470506935,0.2752142703731637,1.3995310640812455,0.4368179493801402,0.19757134635817342,0.19565319557027688,5.985566382013975,238.7455007206281,4.860085421964061,2.326907899684252,2.70713057512328,0.8852323486102598,2.4309495169850104,2.698138163825128,160,1,1,1,1,0,1
39,0.6226899383983573,21.853186058752108,0.169229163012374,1.4316437994580529,0.4669054302442133,0.1818964213589483,0.21553543358602412,9.596611384838702,199.34928972096935,3.0544242903077214,1.6910188408887687,2.1681216352605204,2.9837478219176954,1.7501509140890894,3.6211226195704382,180,0,0,1,1,0,1
40,0.37320328542094455,41.383165240962576,0.2161775685794518,1.370051547577109,0.2046938947293202,0.21564763614646887,0.19471385702846633,11.008088917012714,288.8477296480902,2.400512731877839,1.6876649262686405,1.785401566794895,2.6744893286150866,1.4391183373334284,4.4337895903392335,150,0,0,0,0,0,1
41,0.5326478149100257,32.16720537846573,0.2030092708091099,1.7398188205596528,0.2314420674453109,0.18429956651835389,0.15884871201845302,12.369342189074807,263.40009224785905,4.3941837731954605,1.7153728963684047,2.5650888581932882,2.703824382928941,2.1218171891901436,2.4719470144372804,140,0,0,0,0,1,0
42,0.6253854059609455,51.446206713138025,0.25951835297660997,1.6686961504307347,0.3276942639738858,0.1522665965853207,0.21663143353204073,11.106553991973064,209.68946124810986,3.94610091808312,1.8601665335822937,1.5586922791876787,2.2587650245956388,2.578144369950042,3.8008266003669045,170,0,0,1,1,1,0
43,0.7089974293059126,15.636492115549295,0.17765683879215016,1.593390611592283,0.5342629507378336,0.1792980246210863,0.14571693644880784,9.841118456510129,117.90949990886186,2.6216021449320186,2.0430474640916465,2.076851203566447,2.6401814141846716,1.3940959896999252,3.1820498160739032,140,1,0,1,1,1,1
44,0.6894250513347022,4.734914494213234,0.25137796788763783,1.354558392178852,0.21008604790328295,0.15902902041566258,0.26903094989267035,7.994797955290482,252.1897499548765,1.7105753507091517,2.103438887788107,2.601023710187,2.568188054838955,1.5115040526501637,3.3182986585044314,130,0,0,1,1,1,1
45,0.6201232032854209,8.131713119593309,0.1863881634038208,1.543197491216183,0.2945397674677839,0.17345063456178875,0.20240976380470532,7.474666176554481,271.8562479291447,4.0461905308612875,1.1949344429061775,2.5889531651228728,1.0541218833010617,2.0907550076896957,2.413985453397337,150,0,0,1,1,0,1
46,0.6435185185185185,4.126692184069409,0.25574008776639773,1.3776245242983725,0.4116617605484919,0.20635615173326038,0.22513333666743196,8.570759986656281,202.24807211033036,4.220671838482741,1.9807614044284045,2.5241528884312414,1.47534935579277,1.5408917880314303,3.478341575970834,140,1,0,1,1,0,1
47,0.5727506426735218,29.12399614076524,0.26342654901267215,1.1547318305184944,0.4964811793585271,0.18839733690989924,0.19383301918729412,11.843825009050285,221.15030089096004,2.74725068122044,1.3448768210402988,2.623324379254302,1.0846716362314257,2.0594422312560794,3.355072997203436,110,0,0,1,0,1,0
48,0.7024665981500514,44.74768132289399,0.14802875732713566,1.3620409212671434,0.5814831204993727,0.20368767379808844,0.21434148910214856,8.688148458459294,122.28919092177674,2.881844447782468,1.8257127632186576,1.1174135387225284,1.408160372981222,2.4219810033637117,3.4015117911693893,140,1,1,1,1,1,1
49,0.6465739309634209,7.415062475513422,0.27179865438473744,1.2423897237803048,0.5669531517719467,0.1948423538051095,0.18867232417089952,11.52307014954934,77.20535624456443,2.7825708084801946,2.7288412264753665,2.7900021167716753,2.524350822422446,3.6305336146172156,1.3121536798614288,130,0,1,0,1,1,1
50,0.6712962962962963,7.638963212429312,0.21208046871306802,1.3685640526896787,0.6560334380722398,0.25408594395899925,0.24157927170705223,10.141155391762045,227.5839227821338,3.1388390683195757,2.2776013899650493,2.472827692203322,2.852463886992245,1.7390243535609078,3.2017923612588555,140,0,0,1,1,1,0
51,0.6719712525667351,23.707734231360856,0.20012224291251907,1.1761899702191498,0.290396397356955,0.20554052237532294,0.2163088117888715,11.071421277077043,222.56627265818256,3.2426136481049896,2.1808905581993585,1.9330266081403957,3.6256073525637564,1.3944537787603448,2.479553824028839,110,1,0,1,1,0,1
52,0.6423432682425488,12.018165267903214,0.16872682583373377,1.1027053240651732,0.1488157133953481,0.22902799943984825,0.1529957905650084,10.339358666307614,182.64521707788273,5.543561941533326,2.6356484721236857,1.6040033988820728,2.4527551402690113,1.4701077155338262,2.954626251323279,100,0,0,0,1,1,0
53,0.647663071391885,15.761765114522033,0.35117680982681526,1.3847648874706593,0.6456833817504001,0.17194590666211673,0.2444035984084887,9.916717060867327,123.73931266257901,2.2570925614559094,3.0890785891998833,2.085363509501314,1.1876775394289272,1.1944227160341647,2.0040667818902556,160,0,0,1,1,1,0
54,0.731006160164271,19.755828308349862,0.20636978106264764,1.487386778098894,0.7521340888627067,0.19320418254023308,0.17980311287178918,7.84339538353133,238.46359991736293,5.652188350851136,2.296826303401823,3.1557986706697494,0.9431939387577959,1.7497857973197437,3.0728082568881088,120,1,0,1,1,1,1
55,0.6589625064201335,11.080565240537718,0.17092904151996127,1.5514005869026715,0.4335770782613314,0.13125620895307916,0.14517092331084513,8.521112169279585,170.52652366979675,5.334301558863121,1.9397042625562566,3.0221717621711837,2.242582713540777,2.3290060597855264,3.3129593147704455,150,1,0,1,1,0,0
56,0.6584488957370314,5.971975871662718,0.1628783743842117,1.356716120250028,0.5364435875934018,0.24076778703446616,0.12360195613511889,10.563320388806112,200.34307906064097,2.6428682271354162,1.8578723435070612,2.034015381158241,0.5376447730769697,2.7762832069911907,2.969714934956173,140,0,0,1,1,1,0
57,0.7271794871794872,25.605341165773016,0.2609054338390079,1.4049128408289815,0.5783213690782628,0.2046916482914023,0.20614674926944682,6.915440674733084,182.35354483740753,4.3312543651950755,1.3392677969830955,2.936047422352047,0.8447346458202887,1.7425390131090497,3.4371825067534605,150,1,0,1,1,1,0
58,0.6008209338122114,58.560418515027806,0.10942806832320433,1.4374869831362118,0.49346704079171727,0.1907645034584195,0.19419595766306574,12.783158244543646,216.59528121187535,2.638227141447261,1.8113249094774162,2.5705887968222982,1.4978675274351907,1.116310108531031,2.692976492693152,170,0,0,0,1,1,1
59,0.6736788096459723,22.867197003414717,0.25703833239265245,1.7369397593128812,0.5248127860911672,0.21287684272774632,0.20920327711044417,12.569684229774033,116.98214959762964,4.330244686291472,2.6305187787823123,2.3857902456534443,1.8172207949017931,0.7815545998609802,3.939521969922138,170,1,0,1,1,1,1
60,0.6642710472279261,14.805330181568836,0.21191738393327958,1.5755025612812212,0.48838271467470834,0.20800009501983785,0.1445565868021907,8.498150326438946,159.29942198374346,4.120391697444544,2.5183314468741056,1.80147077859313,0.9992971270586333,1.1475154023514453,4.5494941616734685,140,0,1,1,1,0,1
61,0.6310380267214799,12.294836989914565,0.2761493201242588,1.2908631563173358,0.27670519064203536,0.14292110886188952,0.18163764173023644,10.305971931385116,107.62408703161705,2.524123600717312,1.5524260305687152,2.403873037918539,2.111265598159008,2.1949440824697843,3.2193613522556044,150,0,0,0,1,1,0
62,0.6979487179487179,6.4791423908450385,0.17378736754309432,1.3623650023093707,0.29608252889583275,0.16050177347228325,0.12271039817342565,10.529086784901379,139.95849046704558,1.0070375851495263,2.691942841369377,2.732947540545252,1.6844627563821408,1.505547420350004,2.9655540473003725,140,1,1,0,1,1,0
63,0.7089322381930184,27.401411532265705,0.33342921458947994,0.9580087968280868,0.2162986375880553,0.15284137965772182,0.16187435242315723,8.506218406236938,53.743221010785135,1.4082567077866905,2.1431488300480575,1.6429502107478497,2.648208899065273,2.4855790498970913,2.8693757250841885,130,1,1,1,1,1,0
64,0.696969696969697,27.957808140045124,0.25566273756493546,1.4085961404002199,0.6203874422092808,0.18725602341854292,0.17851188886623082,10.887953035621804,167.88572178993397,2.763675483178492,2.8330867866806626,2.5125264637739138,1.40950180253592,2.0326527259391654,3.2172390502237427,130,1,0,1,1,1,1
66,0.7239074550128535,9.715174104789538,0.27727473552366705,1.3541923668977902,0.694339218857419,0.23663950832405817,0.21193503461415258,5.662172666813938,185.41584579089817,3.5468731813820913,1.7595548829573422,2.8427323856184623,1.7935527218170193,1.7615810960546554,2.6760825296275015,130,1,0,1,1,1,0
67,0.6326321190354027,57.8638179605475,0.1152141781261918,1.2671849931851216,0.4252908875783639,0.2125968416837396,0.1556685806027669,9.357334785290265,47.981013955286905,2.9647374461471436,1.8835263040840262,3.091846992003802,0.9355079343514596,1.583178215834512,2.63515917199472,170,0,0,1,1,1,0
68,0.6524640657084189,17.129311747829156,0.24920084318250174,1.6067831741883603,0.47830157836842274,0.1606792868704752,0.2494050864427207,10.758218629033788,176.6531525557918,6.051555293184258,2.0605735473392386,2.7219045627539,1.0894713110135172,2.6142426155383935,2.820611215991937,150,1,0,1,1,0,0
69,0.6433710174717369,15.551947866861365,0.24294585139802638,1.0516130488204645,0.4857699255356511,0.21213184236680915,0.18832204897446958,6.956830318451205,173.3624124905094,5.101436224535414,2.0397083742216697,3.478610623563899,1.6308690181254366,1.5702583354945174,3.3428267555300337,130,0,1,1,1,0,0
70,0.7106076210092688,18.195104437133562,0.16458554382207485,1.6547047067184244,0.44803359301261425,0.2035780438264096,0.2195218024586817,7.485573909922925,98.41313847474497,4.118524412235205,1.5967398133144486,3.5220929893488546,1.773318506243747,0.5466719074937134,3.3282869107679587,130,1,1,1,1,1,1
71,0.7384378211716341,26.03141155189519,0.29125597731300223,1.7492008523768217,0.5735807115920512,0.16908975057535167,0.20816682954823257,8.50858768872708,168.8059998294519,4.163058637867305,2.227923472406719,3.2388308825712504,2.2549677234186554,1.200485147723481,2.7265606769755086,150,1,1,1,1,1,0
72,0.7151670951156812,14.204768397399393,0.25333939151706836,1.681700642915482,0.7080012342626163,0.2246853085120254,0.08480201815939573,8.262771872856185,194.65221685105894,3.8971609311493847,1.8606196624946103,2.7430673496889533,2.0158941904130914,1.3580772455675478,3.1295725946295847,130,1,0,1,1,1,1
73,0.7021058038007191,19.76677993730405,0.2559423764134797,1.3108440527638598,0.4151865250001196,0.20418169238279615,0.1730465704557997,8.251441068161917,246.58357081138212,2.6124222898044556,2.237370248436944,3.2199773981955877,0.8513109816725665,1.0273611577002149,2.940937540865394,160,1,0,1,1,1,1
74,0.7055498458376156,22.60323341510913,0.2676803007280324,1.3414612034090148,0.7069303444868817,0.20617567715666657,0.1256885263771353,6.1105887807497785,177.67389665756414,5.662261145573356,1.8889408371684298,2.9460939851998145,1.0018437861850367,2.40333795183244,2.4893967351716055,160,0,1,1,1,1,1
