parameter,importance
use_normalized_x,0.5988205865427635
use_normalized_y,0.2759111822776084
fgw_alpha,0.04508027674872913
skel_threshold,0.034502710340064684
use_angle_with_ox,0.010961288201212989
simplification_epsilon,0.009856319106715682
use_vertical_direction,0.006897680399731276
ged_timeout,0.0031235547476000905
norm_cycle,0.003039737324032062
use_cycle_count,0.0027644475415577264
gap_minor_general,0.0022947326713615517
cost_no_match,0.0018366676877656157
cost_impossible,0.001235826748200351
norm_angle,0.0012244983982453701
use_horizontal_direction,0.001102088655404812
gap_general_severe,0.0009927184598529947
cost_minor,0.0003556841491537192
