trial,accuracy,state,duration_seconds,cost_impossible,cost_minor,cost_no_match,gap_general_severe,gap_minor_general,ged_timeout,norm_angle,norm_cycle,norm_hdir,norm_vdir,norm_x,norm_y,simplification_epsilon,skel_threshold,use_angle_with_ox,use_cycle_count,use_horizontal_direction,use_normalized_x,use_normalized_y,use_vertical_direction
0,0.6026,COMPLETE,624.2,2.285326,0.38275,0.987222,0.199665,0.232998,5.680648,111.930199,3.739588,1.286545,2.14655,0.990942,0.998682,2.517222,200,1,0,1,0,1,1
1,0.4542,COMPLETE,86.0,64.078663,0.098823,1.347284,0.14159,0.123036,9.216608,164.053373,5.631748,1.287994,0.480921,4.831597,4.061147,9.514413,100,0,1,1,0,1,0
2,0.5195,COMPLETE,105.5,33.456742,0.223312,1.110536,0.27733,0.058597,1.91837,123.865616,0.839205,0.445121,0.864333,3.02971,4.617184,9.00086,220,1,1,1,0,1,0
3,0.4897,COMPLETE,83.9,17.732092,0.144972,1.137121,0.139188,0.257184,5.891292,50.554171,3.188493,3.107954,0.388774,3.563601,3.672135,8.246884,100,0,1,0,0,1,1
4,0.6739,COMPLETE,132.3,5.600884,0.268154,1.173179,0.06589,0.132725,12.960241,47.761999,0.690643,2.138658,1.76741,3.877739,2.519598,5.832133,190,1,0,1,1,1,0
5,0.2858,COMPLETE,80.4,3.746527,0.272744,1.88908,0.177143,0.128589,0.568295,198.769785,7.194192,3.234321,0.827623,3.203678,4.370157,8.177144,220,0,0,0,0,1,0
6,0.6641,COMPLETE,288.0,9.611426,0.363632,1.073522,0.077513,0.129501,12.130858,350.123729,3.227222,2.123283,2.841774,4.720258,1.683694,3.707344,110,0,0,0,1,1,1
7,0.7207,COMPLETE,116.7,1.215844,0.138124,1.141809,0.12522,0.174312,14.440465,264.875722,2.282282,2.721329,3.070316,4.929687,1.286071,5.149801,110,0,1,0,1,1,0
8,0.4594,COMPLETE,672.1,83.571096,0.271307,0.908348,0.183944,0.208382,5.579969,58.13233,7.525475,2.794657,1.608268,3.261347,0.954396,2.65171,160,0,1,0,0,0,1
9,0.4348,COMPLETE,85.0,33.009815,0.089716,1.10953,0.269335,0.281173,5.181889,282.956441,7.153148,2.931227,3.59873,1.761246,1.811127,6.514464,210,1,0,1,1,1,0
10,0.539,COMPLETE,1614.4,1.049936,0.079449,1.527715,0.274639,0.090407,9.666272,307.228194,5.372247,1.369059,3.011316,3.589678,1.262521,2.630558,180,1,1,0,0,1,0
11,0.7185,COMPLETE,1483.3,3.642734,0.248908,1.118243,0.141929,0.073419,9.898432,71.988738,5.341042,1.195012,0.194832,1.056691,3.640015,5.178918,170,1,1,1,1,0,1
12,0.5678,COMPLETE,435.4,136.80087,0.383875,0.818548,0.14254,0.278716,14.112833,44.011773,4.775459,3.751004,2.814516,0.930514,2.828326,3.510759,210,0,0,1,0,1,1
13,0.5272,COMPLETE,133.5,50.644328,0.396519,1.852848,0.179582,0.085021,9.263608,288.527434,5.764752,3.213351,2.634859,2.605578,2.55743,9.175785,210,1,1,0,1,1,0
14,,RUNNING,,1.209774,0.168298,1.493936,0.073495,0.143896,13.36108,39.871613,5.171679,3.102975,0.941702,0.722597,2.658992,3.921811,200,0,0,0,0,1,1
15,0.5937,COMPLETE,539.6,2.285326,0.38275,0.987222,0.199665,0.232998,5.680648,111.930199,3.739588,1.286545,2.14655,0.990942,0.998682,2.517222,200,1,0,1,0,1,1
16,0.4589,COMPLETE,74.4,64.078663,0.098823,1.347284,0.14159,0.123036,9.216608,164.053373,5.631748,1.287994,0.480921,4.831597,4.061147,9.514413,100,0,1,1,0,1,0
17,0.5038,COMPLETE,81.7,33.456742,0.223312,1.110536,0.27733,0.058597,1.91837,123.865616,0.839205,0.445121,0.864333,3.02971,4.617184,9.00086,220,1,1,1,0,1,0
18,0.4864,COMPLETE,70.8,17.732092,0.144972,1.137121,0.139188,0.257184,5.891292,50.554171,3.188493,3.107954,0.388774,3.563601,3.672135,8.246884,100,0,1,0,0,1,1
19,0.6492,COMPLETE,109.2,5.600884,0.268154,1.173179,0.06589,0.132725,12.960241,47.761999,0.690643,2.138658,1.76741,3.877739,2.519598,5.832133,190,1,0,1,1,1,0
20,0.2675,COMPLETE,82.0,3.746527,0.272744,1.88908,0.177143,0.128589,0.568295,198.769785,7.194192,3.234321,0.827623,3.203678,4.370157,8.177144,220,0,0,0,0,1,0
21,0.6254,COMPLETE,555.7,1.193452,0.272867,1.102118,0.204272,0.228364,8.620627,298.573557,4.290284,1.460701,1.979354,2.279947,3.685909,6.643909,140,1,0,0,1,1,0
22,0.5458,COMPLETE,156.4,10.460893,0.153839,1.386312,0.160927,0.210989,5.001289,213.54416,5.781896,1.785312,1.73257,3.066208,2.726934,4.947756,160,1,0,0,1,0,1
23,0.3015,COMPLETE,222.3,19.500035,0.261185,1.571192,0.158942,0.098378,7.405013,228.995971,4.353093,2.475362,2.845601,2.756657,3.341533,5.601323,160,0,0,1,0,0,1
24,0.5218,COMPLETE,256.7,18.286836,0.26624,1.334365,0.208416,0.128965,8.470915,145.498099,5.657606,2.211487,1.952341,4.106003,1.312344,4.215808,160,0,1,1,0,0,0
25,0.6578,COMPLETE,151.0,16.876573,0.161401,1.617516,0.175644,0.195793,5.626297,226.308517,2.531421,1.628943,1.828226,3.362161,2.674217,4.885706,150,0,1,0,1,0,0
26,0.431,COMPLETE,124.4,5.152905,0.117108,1.082584,0.171723,0.162501,7.789667,224.031676,3.232262,3.066382,3.17058,1.689271,2.923923,4.341409,200,1,0,0,1,1,1
27,0.4196,COMPLETE,289.6,23.078057,0.301728,1.200399,0.178024,0.109621,9.611828,158.209712,2.560029,1.576917,2.149958,4.26973,1.80498,4.974241,150,1,0,1,0,0,0
28,0.3932,COMPLETE,204.4,75.286822,0.164209,1.154293,0.15846,0.191192,8.283584,139.833729,2.98756,2.204926,2.315436,1.745818,1.382671,4.116595,170,0,0,0,0,0,0
29,0.2995,COMPLETE,305.0,6.426653,0.216495,1.275061,0.191092,0.147803,9.885941,194.382931,1.916308,2.486751,2.32686,2.701146,2.323416,4.695865,200,0,0,1,0,0,0
