trial,accuracy,best_so_far,duration_seconds
0,0.6026,0.6026,624.2
1,0.4542,0.6026,86.0
2,0.5195,0.6026,105.5
3,0.4897,0.6026,83.9
4,0.6739,0.6739,132.3
5,0.2858,0.6739,80.4
6,0.6641,0.6739,288.0
7,0.7207,0.7207,116.7
8,0.4594,0.7207,672.1
9,0.4348,0.7207,85.0
10,0.539,0.7207,1614.4
11,0.7185,0.7207,1483.3
12,0.5678,0.7207,435.4
13,0.5272,0.7207,133.5
15,0.5937,0.7207,539.6
16,0.4589,0.7207,74.4
17,0.5038,0.7207,81.7
18,0.4864,0.7207,70.8
19,0.6492,0.7207,109.2
20,0.2675,0.7207,82.0
21,0.6254,0.7207,555.7
22,0.5458,0.7207,156.4
23,0.3015,0.7207,222.3
24,0.5218,0.7207,256.7
25,0.6578,0.7207,151.0
26,0.431,0.7207,124.4
27,0.4196,0.7207,289.6
28,0.3932,0.7207,204.4
29,0.2995,0.7207,305.0
30,0.7029,0.7207,196.8
31,0.6326,0.7207,148.9
32,0.5341,0.7207,283.8
33,0.3821,0.7207,242.7
34,0.5524,0.7207,167.6
35,0.5772,0.7207,148.3
36,0.6848,0.7207,792.9
37,0.6422,0.7207,199.4
38,0.5362,0.7207,223.8
39,0.5968,0.7207,454.3
40,0.6826,0.7207,165.7
41,0.6952,0.7207,279.3
42,0.6496,0.7207,98.2
43,0.6831,0.7207,108.1
44,0.6853,0.7207,293.8
45,0.6472,0.7207,143.9
46,0.7025,0.7207,361.6
47,0.4451,0.7207,1321.9
48,0.6316,0.7207,542.9
49,0.4859,0.7207,1071.7
50,0.6579,0.7207,763.9
51,0.727,0.727,264.4
52,0.6276,0.727,597.8
53,0.4964,0.727,760.5
54,0.6032,0.727,146.8
55,0.7028,0.727,191.9
56,0.6951,0.727,217.5
57,0.6831,0.727,1118.4
58,0.6459,0.727,484.4
59,0.7023,0.727,762.4
60,0.6246,0.727,179.0
61,0.7204,0.727,136.0
62,0.5306,0.727,326.1
63,0.7006,0.727,411.4
64,0.594,0.727,95.5
65,0.6795,0.727,426.0
66,0.6302,0.727,189.2
67,0.6516,0.727,226.2
68,0.6759,0.727,199.6
69,0.714,0.727,241.6
70,0.7305,0.7305,132.3
71,0.3446,0.7305,241.9
72,0.7211,0.7305,284.4
73,0.6038,0.7305,937.2
74,0.6329,0.7305,154.9
75,0.722,0.7305,162.5
76,0.7251,0.7305,205.7
77,0.5866,0.7305,293.7
78,0.6339,0.7305,1822.9
79,0.5975,0.7305,1889.5
80,0.5845,0.7305,424.1
81,0.672,0.7305,101.7
82,0.6465,0.7305,1136.4
83,0.7098,0.7305,385.9
84,0.6057,0.7305,394.3
85,0.6944,0.7305,224.9
86,0.5732,0.7305,278.1
87,0.6922,0.7305,141.7
88,0.6835,0.7305,147.5
89,0.6708,0.7305,358.2
90,0.6593,0.7305,136.3
91,0.5796,0.7305,157.6
92,0.6229,0.7305,187.3
93,0.7136,0.7305,246.2
94,0.7045,0.7305,291.7
95,0.6824,0.7305,606.9
96,0.5944,0.7305,692.1
97,0.7047,0.7305,141.6
98,0.7179,0.7305,179.3
99,0.7034,0.7305,436.7
100,0.6949,0.7305,187.3
101,0.741,0.741,227.4
102,0.684,0.741,352.6
103,0.7134,0.741,274.4
104,0.6936,0.741,254.0
105,0.6917,0.741,397.1
106,0.7152,0.741,136.6
107,0.7205,0.741,98.9
108,0.6915,0.741,171.4
109,0.7072,0.741,181.6
110,0.6324,0.741,2240.9
111,0.6745,0.741,106.6
112,0.7028,0.741,405.1
113,0.6997,0.741,301.0
114,0.7166,0.741,181.0
115,0.7243,0.741,269.2
116,0.7088,0.741,516.0
117,0.6826,0.741,109.4
118,0.7081,0.741,255.6
119,0.7098,0.741,120.4
120,0.6769,0.741,323.0
121,0.7149,0.741,142.1
122,0.7205,0.741,270.8
123,0.6903,0.741,208.8
124,0.7021,0.741,229.6
125,0.7076,0.741,277.4
126,0.6957,0.741,468.2
127,0.7237,0.741,161.2
128,0.7055,0.741,127.7
129,0.7331,0.741,149.5
130,0.6877,0.741,120.6
131,0.6884,0.741,148.0
132,0.7374,0.741,249.5
133,0.721,0.741,348.3
134,0.6971,0.741,370.0
135,0.6831,0.741,175.9
136,0.714,0.741,136.1
137,0.6211,0.741,89.3
138,0.7122,0.741,124.5
139,0.7215,0.741,130.5
140,0.6997,0.741,179.8
141,0.7279,0.741,135.6
142,0.704,0.741,161.6
143,0.7122,0.741,111.6
144,0.6766,0.741,135.5
145,0.7119,0.741,169.9
146,0.7194,0.741,275.1
147,0.7223,0.741,192.9
148,0.7078,0.741,125.5
149,0.7116,0.741,155.7
150,0.6843,0.741,136.9
151,0.6963,0.741,311.2
152,0.6386,0.741,227.2
153,0.7171,0.741,195.0
154,0.7216,0.741,148.6
155,0.6912,0.741,119.6
156,0.6482,0.741,108.2
157,0.6112,0.741,1528.2
158,0.6663,0.741,154.7
159,0.5969,0.741,203.1
160,0.7323,0.741,226.3
161,0.6684,0.741,207.3
162,0.6346,0.741,153.0
163,0.6405,0.741,831.5
164,0.7055,0.741,187.7
165,0.7313,0.741,209.2
166,0.6961,0.741,307.5
167,0.6317,0.741,189.3
168,0.5428,0.741,378.9
169,0.6771,0.741,229.6
170,0.6677,0.741,133.5
171,0.6992,0.741,143.0
172,0.7365,0.741,232.4
173,0.677,0.741,162.7
174,0.5786,0.741,162.3
175,0.7003,0.741,374.8
176,0.7025,0.741,152.3
177,0.6715,0.741,151.4
178,0.7204,0.741,245.7
179,0.6845,0.741,132.7
180,0.7091,0.741,133.6
181,0.7312,0.741,182.9
182,0.6793,0.741,148.4
183,0.7458,0.7458,191.2
184,0.5656,0.7458,304.1
185,0.5701,0.7458,511.0
186,0.6318,0.7458,113.3
187,0.7524,0.7524,141.1
188,0.7028,0.7524,164.9
189,0.7138,0.7524,153.2
190,0.7359,0.7524,172.3
191,0.7374,0.7524,263.4
192,0.742,0.7524,314.2
193,0.7256,0.7524,244.9
194,0.6941,0.7524,168.6
195,0.7052,0.7524,146.3
196,0.4982,0.7524,857.3
197,0.7124,0.7524,148.8
198,0.6961,0.7524,238.8
199,0.7155,0.7524,107.0
200,0.6795,0.7524,259.5
201,0.6939,0.7524,338.5
202,0.7405,0.7524,193.7
203,0.7047,0.7524,142.4
204,0.7324,0.7524,155.2
205,0.7195,0.7524,235.3
206,0.7298,0.7524,146.6
207,0.697,0.7524,164.6
208,0.7071,0.7524,163.1
209,0.6377,0.7524,165.9
210,0.7422,0.7524,131.8
211,0.7409,0.7524,210.0
212,0.7022,0.7524,136.2
213,0.7392,0.7524,112.9
214,0.698,0.7524,100.9
215,0.7196,0.7524,164.5
216,0.7131,0.7524,168.3
217,0.6927,0.7524,114.1
218,0.7477,0.7524,503.1
219,0.7033,0.7524,125.6
220,0.7334,0.7524,110.7
221,0.7098,0.7524,120.4
222,0.6362,0.7524,1108.5
223,0.7445,0.7524,155.4
224,0.7356,0.7524,196.0
225,0.7551,0.7551,171.5
226,0.741,0.7551,234.8
227,0.6946,0.7551,161.4
228,0.7521,0.7551,268.7
229,0.7396,0.7551,266.5
230,0.7339,0.7551,369.3
231,0.7156,0.7551,118.9
232,0.7402,0.7551,139.7
233,0.7366,0.7551,290.0
234,0.7227,0.7551,143.5
235,0.7464,0.7551,602.3
236,0.7413,0.7551,285.9
237,0.753,0.7551,190.4
238,0.7135,0.7551,414.0
239,0.7318,0.7551,249.8
240,0.6589,0.7551,4066.9
241,0.7525,0.7551,1300.1
242,0.7077,0.7551,1029.2
243,0.7152,0.7551,217.5
244,0.7013,0.7551,793.8
245,0.7066,0.7551,228.2
246,0.7122,0.7551,472.4
247,0.7428,0.7551,249.9
248,0.7243,0.7551,263.0
249,0.7481,0.7551,286.1
250,0.7085,0.7551,2056.0
251,0.7337,0.7551,767.4
252,0.7134,0.7551,427.4
253,0.761,0.761,138.1
254,0.7555,0.761,159.8
255,0.7514,0.761,158.7
256,0.7286,0.761,148.3
257,0.7278,0.761,315.0
258,0.7497,0.761,123.8
259,0.7415,0.761,331.2
260,0.7563,0.761,197.5
261,0.7578,0.761,178.7
262,0.7447,0.761,142.1
263,0.7122,0.761,335.3
264,0.7603,0.761,282.0
265,0.697,0.761,112.1
266,0.7422,0.761,132.2
267,0.7527,0.761,298.3
268,0.7174,0.761,222.4
269,0.723,0.761,137.7
270,0.7496,0.761,161.2
271,0.7114,0.761,133.2
272,0.6951,0.761,343.4
273,0.6003,0.761,321.2
274,0.7532,0.761,142.2
275,0.7692,0.7692,153.9
276,0.7242,0.7692,382.0
277,0.6838,0.7692,177.4
278,0.6843,0.7692,275.6
279,0.7447,0.7692,223.2
280,0.7527,0.7692,150.8
281,0.7491,0.7692,275.4
282,0.7449,0.7692,126.7
283,0.7472,0.7692,142.5
284,0.7481,0.7692,125.7
285,0.7558,0.7692,212.8
286,0.7148,0.7692,201.9
287,0.7236,0.7692,839.6
288,0.745,0.7692,130.3
289,0.6901,0.7692,99.9
290,0.7297,0.7692,105.0
291,0.7433,0.7692,146.1
292,0.7203,0.7692,97.5
293,0.6766,0.7692,132.8
294,0.7472,0.7692,151.2
295,0.7375,0.7692,190.1
296,0.7397,0.7692,267.5
297,0.747,0.7692,179.6
298,0.7384,0.7692,314.2
299,0.7239,0.7692,140.5
300,0.7302,0.7692,959.7
301,0.7591,0.7692,232.0
302,0.7364,0.7692,933.8
303,0.7501,0.7692,954.3
304,0.7603,0.7692,255.4
305,0.7528,0.7692,150.4
306,0.7378,0.7692,456.1
307,0.7211,0.7692,399.1
308,0.738,0.7692,309.5
309,0.6912,0.7692,1064.1
310,0.7177,0.7692,104.9
311,0.6364,0.7692,254.1
312,0.7377,0.7692,330.7
313,0.7338,0.7692,550.0
314,0.7211,0.7692,134.0
315,0.7477,0.7692,458.1
316,0.7415,0.7692,288.9
317,0.6482,0.7692,569.9
318,0.6584,0.7692,375.0
319,0.6886,0.7692,98.9
320,0.6751,0.7692,381.8
321,0.7451,0.7692,574.1
322,0.7356,0.7692,325.3
323,0.7303,0.7692,1661.8
324,0.7584,0.7692,184.5
325,0.6494,0.7692,1104.9
326,0.709,0.7692,194.5
327,0.7544,0.7692,361.0
328,0.746,0.7692,214.3
329,0.6933,0.7692,237.1
330,0.745,0.7692,391.2
331,0.7571,0.7692,250.5
332,0.7492,0.7692,391.3
333,0.6823,0.7692,1047.4
334,0.7232,0.7692,196.5
335,0.6428,0.7692,1342.0
336,0.7329,0.7692,1447.1
337,0.6944,0.7692,667.3
338,0.7442,0.7692,446.5
339,0.7353,0.7692,163.6
340,0.7548,0.7692,212.2
341,0.6995,0.7692,425.7
342,0.6012,0.7692,964.0
343,0.7504,0.7692,795.4
344,0.6809,0.7692,319.1
345,0.6668,0.7692,1788.5
346,0.7594,0.7692,138.3
347,0.7258,0.7692,400.3
348,0.7265,0.7692,593.9
349,0.6778,0.7692,152.5
350,0.7581,0.7692,215.9
351,0.7327,0.7692,1382.9
352,0.71,0.7692,2499.1
353,0.7154,0.7692,149.7
354,0.7603,0.7692,301.2
355,0.7519,0.7692,122.9
356,0.7113,0.7692,121.8
357,0.7374,0.7692,111.4
358,0.7526,0.7692,122.3
359,0.7518,0.7692,107.0
360,0.7499,0.7692,120.0
361,0.7438,0.7692,195.8
362,0.7626,0.7692,272.5
363,0.7533,0.7692,272.4
364,0.7649,0.7692,143.9
365,0.7205,0.7692,96.4
366,0.7497,0.7692,110.7
367,0.7587,0.7692,211.6
368,0.7499,0.7692,239.9
369,0.7467,0.7692,133.4
370,0.7531,0.7692,218.0
371,0.7536,0.7692,207.7
372,0.7623,0.7692,169.5
373,0.7347,0.7692,452.4
374,0.7694,0.7694,148.2
375,0.7542,0.7694,267.3
376,0.7551,0.7694,152.7
377,0.7497,0.7694,432.0
378,0.7357,0.7694,210.5
379,0.7556,0.7694,140.8
380,0.7548,0.7694,154.4
381,0.7134,0.7694,115.4
382,0.6675,0.7694,128.1
383,0.7612,0.7694,125.3
384,0.745,0.7694,113.9
385,0.7549,0.7694,145.4
386,0.7501,0.7694,143.5
387,0.7636,0.7694,274.5
388,0.7377,0.7694,938.5
389,0.7038,0.7694,124.2
390,0.7116,0.7694,221.1
391,0.7001,0.7694,281.8
392,0.7499,0.7694,438.1
393,0.7417,0.7694,276.6
394,0.7477,0.7694,663.1
395,0.7487,0.7694,149.0
396,0.7045,0.7694,117.5
397,0.762,0.7694,217.9
398,0.7633,0.7694,190.6
399,0.7192,0.7694,315.3
400,0.7194,0.7694,127.8
401,0.6799,0.7694,705.0
402,0.7322,0.7694,856.5
403,0.7124,0.7694,220.8
404,0.7599,0.7694,332.0
405,0.7227,0.7694,245.0
406,0.7364,0.7694,104.6
407,0.7518,0.7694,208.7
408,0.7515,0.7694,205.8
409,0.7585,0.7694,177.7
410,0.7564,0.7694,150.4
411,0.6915,0.7694,132.3
412,0.7119,0.7694,265.8
413,0.766,0.7694,128.9
414,0.6571,0.7694,351.1
415,0.6876,0.7694,93.0
416,0.7311,0.7694,110.1
417,0.7254,0.7694,187.9
418,0.7292,0.7694,243.4
419,0.6967,0.7694,624.2
420,0.7523,0.7694,168.1
421,0.7384,0.7694,98.5
422,0.7503,0.7694,171.6
423,0.7726,0.7726,161.8
424,0.7521,0.7726,194.7
425,0.7653,0.7726,119.8
426,0.7681,0.7726,225.0
427,0.7523,0.7726,329.6
428,0.7469,0.7726,176.4
429,0.7324,0.7726,302.4
430,0.7432,0.7726,107.8
431,0.7594,0.7726,114.9
432,0.7427,0.7726,206.4
433,0.742,0.7726,126.1
434,0.7204,0.7726,139.2
435,0.7709,0.7726,170.5
436,0.7414,0.7726,170.1
437,0.7198,0.7726,407.2
438,0.749,0.7726,103.2
439,0.7527,0.7726,133.6
440,0.7541,0.7726,179.6
441,0.762,0.7726,166.1
442,0.7756,0.7756,159.4
443,0.7503,0.7756,117.0
444,0.7586,0.7756,192.0
445,0.7394,0.7756,135.1
446,0.7232,0.7756,113.1
447,0.7233,0.7756,154.2
448,0.5677,0.7756,218.3
449,0.7545,0.7756,197.0
450,0.7418,0.7756,132.8
451,0.7392,0.7756,154.1
452,0.7508,0.7756,134.8
453,0.7352,0.7756,113.4
454,0.7071,0.7756,123.9
455,0.7485,0.7756,145.7
456,0.7492,0.7756,187.0
457,0.7597,0.7756,138.8
458,0.7616,0.7756,193.6
459,0.7585,0.7756,270.6
460,0.7446,0.7756,122.9
461,0.7575,0.7756,229.4
462,0.7515,0.7756,119.2
463,0.7645,0.7756,208.4
464,0.755,0.7756,126.8
465,0.7136,0.7756,158.9
466,0.7499,0.7756,166.1
467,0.7339,0.7756,118.6
468,0.7393,0.7756,160.3
469,0.7633,0.7756,213.5
470,0.7324,0.7756,442.6
471,0.7553,0.7756,146.2
472,0.7494,0.7756,145.1
473,0.7108,0.7756,238.1
474,0.73,0.7756,181.0
475,0.7521,0.7756,159.4
476,0.7592,0.7756,139.5
477,0.758,0.7756,140.8
478,0.6918,0.7756,285.7
479,0.7461,0.7756,192.4
480,0.7357,0.7756,127.7
481,0.7387,0.7756,181.4
482,0.7578,0.7756,188.3
483,0.7539,0.7756,1460.2
484,0.7599,0.7756,211.0
485,0.7702,0.7756,186.9
486,0.7479,0.7756,165.2
487,0.7359,0.7756,528.8
488,0.7411,0.7756,329.5
489,0.7611,0.7756,216.5
490,0.7327,0.7756,131.9
491,0.7501,0.7756,160.4
492,0.7443,0.7756,129.3
493,0.763,0.7756,331.1
494,0.7093,0.7756,224.9
495,0.755,0.7756,222.9
496,0.7461,0.7756,175.4
497,0.7445,0.7756,147.6
498,0.7573,0.7756,132.3
499,0.7508,0.7756,211.1
500,0.7506,0.7756,156.5
