trial,accuracy,best_so_far
0,0.740760,0.740760
2,0.728674,0.740760
3,0.687564,0.740760
4,0.512070,0.740760
5,0.502575,0.740760
6,0.723907,0.740760
7,0.504644,0.740760
8,0.715681,0.740760
9,0.723164,0.740760
10,0.724563,0.740760
11,0.732785,0.740760
12,0.709794,0.740760
13,0.710757,0.740760
14,0.717738,0.740760
15,0.750899,0.750899
16,0.749486,0.750899
17,0.749357,0.750899
18,0.757591,0.757591
19,0.717369,0.757591
20,0.605967,0.757591
21,0.761171,0.761171
22,0.742416,0.761171
23,0.746660,0.761171
24,0.703647,0.761171
25,0.729702,0.761171
26,0.746660,0.761171
27,0.748331,0.761171
28,0.776978,0.776978
29,0.765794,0.776978
30,0.751540,0.776978
31,0.734190,0.776978
32,0.738952,0.776978
33,0.752185,0.776978
34,0.754494,0.776978
35,0.744473,0.776978
36,0.731282,0.776978
37,0.746914,0.776978
38,0.751543,0.776978
39,0.703951,0.776978
40,0.755133,0.776978
41,0.729188,0.776978
42,0.725732,0.776978
43,0.731244,0.776978
44,0.700771,0.776978
45,0.752699,0.776978
46,0.761562,0.776978
47,0.750643,0.776978
48,0.755133,0.776978
49,0.717804,0.776978
50,0.727413,0.776978
51,0.739086,0.776978
52,0.758993,0.776978
53,0.761954,0.776978
54,0.750000,0.776978
55,0.716195,0.776978
56,0.746024,0.776978
57,0.765914,0.776978
58,0.757451,0.776978
59,0.763468,0.776978
60,0.735868,0.776978
61,0.748457,0.776978
62,0.739979,0.776978
63,0.697686,0.776978
64,0.731282,0.776978
65,0.756035,0.776978
66,0.752832,0.776978
67,0.751285,0.776978
68,0.760267,0.776978
69,0.746276,0.776978
70,0.768086,0.776978
71,0.736140,0.776978
72,0.765039,0.776978
73,0.746790,0.776978
74,0.715092,0.776978
75,0.717804,0.776978
76,0.726386,0.776978
77,0.741406,0.776978
78,0.760021,0.776978
79,0.755910,0.776978
80,0.762076,0.776978
81,0.754882,0.776978
82,0.747044,0.776978
83,0.746660,0.776978
84,0.741007,0.776978
85,0.750000,0.776978
86,0.764887,0.776978
87,0.766034,0.776978
88,0.754107,0.776978
89,0.749231,0.776978
90,0.748971,0.776978
91,0.756285,0.776978
92,0.706427,0.776978
93,0.761954,0.776978
94,0.762468,0.776978
95,0.740493,0.776978
96,0.749743,0.776978
97,0.769112,0.776978
98,0.763104,0.776978
99,0.763253,0.776978
100,0.747688,0.776978
101,0.756798,0.776978
102,0.760267,0.776978
103,0.758727,0.776978
104,0.711202,0.776978
105,0.729979,0.776978
106,0.757700,0.776978
107,0.743959,0.776978
108,0.751799,0.776978
109,0.734736,0.776978
110,0.747817,0.776978
111,0.749486,0.776978
112,0.749872,0.776978
113,0.759507,0.776978
114,0.759877,0.776978
115,0.735626,0.776978
116,0.745380,0.776978
117,0.740627,0.776978
118,0.758603,0.776978
119,0.716710,0.776978
120,0.746530,0.776978
121,0.760021,0.776978
122,0.771047,0.776978
123,0.747942,0.776978
124,0.737166,0.776978
125,0.761171,0.776978
126,0.720082,0.776978
127,0.725218,0.776978
128,0.742666,0.776978
129,0.729605,0.776978
130,0.756035,0.776978
131,0.736653,0.776978
132,0.733676,0.776978
133,0.753601,0.776978
134,0.754115,0.776978
135,0.738706,0.776978
136,0.737166,0.776978
137,0.723907,0.776978
138,0.724474,0.776978
139,0.743326,0.776978
140,0.735249,0.776978
141,0.728395,0.776978
142,0.754882,0.776978
143,0.733676,0.776978
144,0.722422,0.776978
145,0.752826,0.776978
146,0.768638,0.776978
147,0.751671,0.776978
148,0.770534,0.776978
149,0.734190,0.776978
150,0.748586,0.776978
151,0.757700,0.776978
152,0.740893,0.776978
153,0.752440,0.776978
154,0.746914,0.776978
155,0.750641,0.776978
156,0.760411,0.776978
157,0.748460,0.776978
158,0.746024,0.776978
159,0.760267,0.776978
160,0.749229,0.776978
161,0.748201,0.776978
162,0.747044,0.776978
163,0.751410,0.776978
164,0.730730,0.776978
165,0.742681,0.776978
166,0.740760,0.776978
167,0.784173,0.784173
168,0.747688,0.784173
169,0.749229,0.784173
170,0.746276,0.784173
171,0.766307,0.784173
172,0.747688,0.784173
173,0.765280,0.784173
174,0.752445,0.784173
175,0.749486,0.784173
176,0.755772,0.784173
177,0.755910,0.784173
178,0.748331,0.784173
179,0.748586,0.784173
180,0.759507,0.784173
181,0.760390,0.784173
182,0.738706,0.784173
183,0.756311,0.784173
184,0.730631,0.784173
185,0.746146,0.784173
186,0.776579,0.784173
187,0.763225,0.784173
188,0.762564,0.784173
189,0.755647,0.784173
190,0.755018,0.784173
191,0.759240,0.784173
192,0.752826,0.784173
193,0.767729,0.784173
194,0.759877,0.784173
195,0.749358,0.784173
196,0.764132,0.784173
197,0.760144,0.784173
198,0.753467,0.784173
199,0.756160,0.784173
200,0.763889,0.784173
