trial_number,value,fold,duration_s,diagnostic_weight_epsilon,norm_normalized_x,norm_normalized_y,norm_distance_to_centroid,norm_horizontal_direction,norm_vertical_direction,norm_angle_with_ox,norm_junction_angle_min,norm_length_ratio_to_max,norm_eccentricity,norm_avg_neighbor_vector_length,norm_neighbor_endpoint_count,norm_neighbor_junction_count
80,0.753862,0,167.1,0.9802,1.9182,3.83,1.9748,1.6939,3.0483,199.8417,252.1303,1.811,7.1146,49.1515,4.1416,5.751
96,0.75463,0,245.6,1.3334,4.2951,6.1239,1.8664,1.1646,3.9875,147.7215,158.4732,2.6016,6.7097,45.9934,4.2629,5.5842
8,0.754882,0,307.5,1.8613,3.2436,4.6934,3.8511,2.6016,1.5389,125.618,83.203,4.6696,16.5462,67.0063,8.8431,8.233
40,0.758869,0,183.9,1.5042,2.0936,5.1299,1.5788,2.9842,5.0259,317.0563,101.798,1.3621,18.1995,69.2501,3.14,2.4597
92,0.759774,0,376.5,1.203,3.9983,3.169,0.4809,1.0651,2.3627,269.9915,189.3224,2.9344,7.5226,59.1225,5.8683,6.5431
156,0.759897,0,171.0,1.3075,1.6216,6.4044,1.0256,2.8399,5.8119,157.6376,206.3075,2.334,16.3721,75.4136,4.9845,5.8329
148,0.760288,0,172.9,1.234,1.9748,3.4046,1.2868,1.5754,2.9427,135.6133,218.6353,1.9154,12.2517,54.7583,5.5879,2.9814
112,0.762223,0,176.2,1.0857,1.9012,4.0338,2.404,3.4357,3.781,149.5843,264.9596,2.9215,9.0261,55.3011,5.0332,5.7869
12,0.762468,0,209.8,1.5082,7.8546,3.1387,3.7226,3.5745,5.4261,239.0648,206.8056,0.7244,17.0354,38.8702,2.6787,1.367
84,0.762738,0,153.4,1.3815,3.4234,5.2541,0.9677,1.7615,3.3971,162.8088,289.4286,3.14,13.2569,48.5149,6.737,5.6305
