parameter,search_lo,search_hi,best_value,top_q_min,top_q_median,top_q_max,bot_q_min,bot_q_median,bot_q_max,all_min,all_max
diagnostic_weight_epsilon,0.5,2.0,1.0546,0.6719,1.0502,1.3912,0.5076,1.0618,1.9092,0.5076,1.95
norm_normalized_x,1.0,10.0,2.9168,1.6021,3.4561,9.033,1.1453,3.1562,9.5564,1.0321,9.6726
norm_normalized_y,1.0,10.0,4.1234,1.1493,4.0388,8.2198,1.8728,4.4247,8.7679,1.1493,9.074
norm_distance_to_centroid,0.3,5.0,1.6308,0.3603,1.4081,4.095,0.3811,1.5098,4.6328,0.3538,4.6328
norm_horizontal_direction,1.0,8.0,1.684,1.2296,2.4036,7.9082,1.0301,2.6016,6.7206,1.0301,7.9082
norm_vertical_direction,1.0,8.0,3.1247,1.8622,3.6178,7.8111,1.4449,3.3971,5.8119,1.3604,7.8111
norm_angle_with_ox,30.0,360.0,164.3948,51.467,178.5936,309.2394,38.1828,202.7055,349.9108,38.1828,349.9108
norm_junction_angle_min,30.0,360.0,201.0413,31.8223,209.6522,343.1322,38.3883,206.8056,315.8381,31.8223,344.7964
norm_length_ratio_to_max,0.3,5.0,2.8086,0.6998,2.692,4.8385,0.7244,2.5134,4.6696,0.3452,4.8385
norm_eccentricity,2.0,20.0,14.684,4.3414,12.8791,18.8611,2.5657,12.7641,18.1995,2.5657,19.4921
norm_avg_neighbor_vector_length,10.0,100.0,65.7814,22.3769,58.2553,87.4658,11.8526,57.3542,91.0376,10.8277,96.6203
norm_neighbor_endpoint_count,1.0,10.0,5.9635,1.0626,5.2218,9.7263,1.3554,5.0332,9.7292,1.0626,9.8709
norm_neighbor_junction_count,1.0,10.0,3.9344,1.1721,4.9457,8.0666,1.367,4.1501,8.492,1.1721,8.492
