trial_number,value,fold,diagnostic_weight_epsilon,norm_normalized_x,norm_normalized_y,norm_distance_to_centroid,norm_horizontal_direction,norm_vertical_direction,norm_angle_with_ox,norm_junction_angle_min,norm_length_ratio_to_max,norm_eccentricity,norm_avg_neighbor_vector_length,norm_neighbor_endpoint_count,norm_neighbor_junction_count
0,0.768004,0,1.0618,9.5564,7.5879,3.1137,2.0921,2.092,49.1676,315.8381,3.1252,14.7453,11.8526,9.7292,8.492
1,0.784576,1,0.8185,2.6364,2.6506,1.7299,4.6733,4.0236,126.1056,231.9115,0.9556,7.2586,42.9726,5.1046,8.0666
2,0.782005,2,0.7995,5.6281,6.3317,0.5183,5.2528,2.1937,51.467,343.1322,4.8385,16.5512,37.4152,1.879,7.1581
3,0.785788,3,1.1602,2.0983,5.4566,0.4616,7.3652,2.8115,248.6324,132.8647,2.7443,11.8408,26.6369,9.7263,7.9762
4,0.764676,0,1.9092,9.0534,6.3811,4.6328,1.6194,2.3719,44.925,137.359,2.1268,6.8843,84.5864,4.2108,3.5284
5,0.783213,1,1.314,2.2683,8.2198,0.6504,7.9082,6.4057,95.5762,31.8223,4.1327,14.7234,75.6106,7.9414,1.6664
6,0.765159,2,1.0377,2.0428,8.7679,3.2295,3.3163,1.4449,132.6242,137.3105,3.7291,13.476,89.8491,5.2499,2.0763
7,0.767609,3,1.5699,7.8471,6.0515,3.9235,4.4566,4.6591,171.0885,38.3883,0.8071,2.5657,67.2769,3.8292,5.5771
8,0.754882,0,1.8613,3.2436,4.6934,3.8511,2.6016,1.5389,125.618,83.203,4.6696,16.5462,67.0063,8.8431,8.233
9,0.786927,1,0.7799,9.033,5.8541,4.095,7.2726,3.226,66.3171,105.2186,2.3074,16.7243,87.4658,1.0626,5.5967
10,0.779261,2,1.1261,2.999,2.0788,1.8868,7.6004,3.2624,201.2009,261.9963,2.0091,19.4921,96.6203,3.266,5.4752
11,0.778807,3,0.9513,3.5636,1.332,3.165,4.5188,1.3604,121.9533,329.7277,1.4259,4.6081,54.0507,9.8709,3.1785
12,0.762468,0,1.5082,7.8546,3.1387,3.7226,3.5745,5.4261,239.0648,206.8056,0.7244,17.0354,38.8702,2.6787,1.367
13,0.782698,1,1.3863,7.0981,1.1493,2.7068,2.5855,5.5162,87.5409,258.0095,2.1177,18.8611,22.3769,4.0696,2.0213
14,0.767848,2,1.887,8.8961,3.3215,3.4019,6.7206,4.8864,204.7847,109.8113,0.7376,18.1499,91.0376,6.6979,4.0513
15,0.772119,3,1.0238,7.5336,9.074,4.4693,6.4591,5.4942,57.7662,83.3375,4.5232,12.9157,10.8277,1.9132,6.9715
16,0.763009,0,0.5076,2.4473,5.9386,3.5519,5.5637,2.5699,265.0191,108.2922,1.8294,15.4368,68.467,8.643,6.9185
17,0.790123,1,1.3525,1.8431,4.3094,1.5465,2.7079,7.8111,159.7222,324.3754,3.2664,16.3066,55.2373,6.1921,5.4327
18,0.774525,2,0.7929,7.5021,3.527,0.4143,5.5183,2.2398,340.3513,344.7964,4.5999,8.6629,11.3911,9.3549,4.8537
19,0.775206,3,1.95,9.6726,8.6771,1.6839,3.6957,6.958,134.5843,85.9326,2.917,18.8508,72.6427,6.1306,1.8746
20,0.76749,0,0.7829,4.7635,5.0495,0.3811,2.6906,1.7662,254.6193,223.6721,1.2784,10.617,52.5223,1.3554,2.2427
21,0.785898,1,0.8296,5.017,5.6961,1.6604,2.1551,1.9791,288.3678,157.9978,1.3096,5.4101,65.4178,3.2592,2.5208
22,0.778006,2,1.1172,3.3244,2.881,0.8105,1.7692,3.1903,297.1738,183.8695,1.0755,10.8177,59.924,5.0513,3.2251
23,0.770298,3,0.8595,6.0149,2.6512,0.6856,2.0435,3.7183,287.0672,280.2598,0.8563,9.0962,72.6923,3.3903,2.0325
24,0.766067,0,0.9268,3.3385,5.0059,0.7273,2.8663,2.4203,244.4261,124.1104,1.6813,6.413,45.9272,2.3085,1.7245
25,0.79053,1,1.2914,2.1729,5.1123,1.7387,3.5809,5.7028,272.6022,133.0331,0.6998,16.9529,59.4791,4.0925,3.1842
