trial_number,value,fold,duration_s,diagnostic_weight_epsilon,norm_normalized_x,norm_normalized_y,norm_distance_to_centroid,norm_horizontal_direction,norm_vertical_direction,norm_angle_with_ox,norm_junction_angle_min,norm_length_ratio_to_max,norm_eccentricity,norm_avg_neighbor_vector_length,norm_neighbor_endpoint_count,norm_neighbor_junction_count
133,0.798458,1,159.7,1.0546,2.9168,4.1234,1.6308,1.684,3.1247,164.3948,201.0413,2.8086,14.684,65.7814,5.9635,3.9344
65,0.794964,1,158.5,0.8343,3.7213,3.3552,0.8254,3.2949,3.3861,251.382,272.9963,2.6915,12.2858,39.7049,4.8118,4.806
137,0.79321,1,160.8,1.2718,4.4687,4.0274,0.5019,2.3671,4.6524,136.8188,187.3823,2.415,16.4298,48.6275,3.4723,5.2263
189,0.79321,1,154.1,1.0799,3.5882,2.9467,1.2542,3.5338,4.5477,178.9715,208.6412,2.7476,13.484,75.6582,5.7828,1.1721
117,0.791045,1,164.2,0.9733,1.6021,4.3657,1.4513,1.7366,3.7015,102.738,162.9746,3.2126,11.4613,35.8735,5.0567,4.5707
113,0.790937,1,164.3,1.0214,3.8461,3.5845,1.1397,1.4923,3.5197,167.7897,218.5172,3.4243,12.5327,64.7839,6.2211,5.1183
25,0.79053,1,157.0,1.2914,2.1729,5.1123,1.7387,3.5809,5.7028,272.6022,133.0331,0.6998,16.9529,59.4791,4.0925,3.1842
17,0.790123,1,188.3,1.3525,1.8431,4.3094,1.5465,2.7079,7.8111,159.7222,324.3754,3.2664,16.3066,55.2373,6.1921,5.4327
157,0.787551,1,148.0,1.0941,4.1212,3.4363,1.9449,3.0074,2.6096,189.5218,219.8557,3.2813,11.4465,59.3112,5.6784,2.3085
153,0.787147,1,146.4,1.1009,2.348,3.3925,1.3672,1.3968,3.8926,154.0272,190.9642,2.4991,15.0428,68.5109,6.8922,4.9761
