class,precision,recall,f1_score,support
0,100.0,77.73144286905755,87.47067104645706,1199
1,84.05904059040591,95.39363484087102,89.36837975676735,1194
2,79.7377830750894,55.98326359832636,65.78171091445427,1195
3,95.82463465553236,76.75585284280938,85.23676880222841,1196
4,90.64039408866995,76.92307692307693,83.22026232473993,1196
5,88.14749780509219,84.86897717666947,86.47717484926787,1183
6,71.60583941605839,81.88647746243738,76.4018691588785,1198
7,52.997275204359674,97.41235392320534,68.64705882352942,1198
8,99.11373707533235,56.05680868838764,71.61152614727855,1197
9,87.34593262119968,89.47811447811448,88.3991683991684,1188
