status,image_id,error,image_path,expected,classification_results,parameters,profiling,predicted,correct
error,1f7716f6-105f-4b7d-bb74-6e4a3c1599f3,DLQ,/opt/nuclio/shared_storage/mnist_all/1/mnist_test_1_00609.png,1,[],,,,
success,8fcfc97a-b58c-4f5a-a616-d2af5599398f,,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00651.png,0,"[{""concept_id"": ""6_1"", ""is_minor"": true, ""message"": ""Similarity between image and concept 6_1: 0.5826"", ""similarity"": 0.5826, ""concept_complexity"": 20, ""image_complexity"": 32}, {""concept_id"": ""0_1"", ""is_minor"": true, ""message"": ""Similarity between image and concept 0_1: 0.5666"", ""similarity"": 0.5666, ""concept_complexity"": 20, ""image_complexity"": 32}, {""concept_id"": ""4_1"", ""is_minor"": true, ""message"": ""Similarity between image and concept 4_1: 0.4835"", ""similarity"": 0.4835, ""concept_complexity"": 16, ""image_complexity"": 32}, {""concept_id"": ""9_2"", ""is_minor"": true, ""message"": ""Similarity between image and concept 9_2: 0.478"", ""similarity"": 0.478, ""concept_complexity"": 16, ""image_complexity"": 32}, {""concept_id"": ""8_1"", ""is_minor"": true, ""message"": ""Similarity between image and concept 8_1: 0.3464"", ""similarity"": 0.3464, ""concept_complexity"": 27, ""image_complexity"": 32}, {""concept_id"": ""1_1"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""1_3"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""2_1"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""2_2"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has corner points but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""3_1"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""4_2"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""5_1"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""7_1"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""8_2"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}]","{'ged_timeout': 5, 'skeletonization_threshold': 110, 'simplification_epsilon': 4.55, 'comparison_method': 'ged', 'fgw_alpha': 0.5, 'image_path': '/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00651.png', 'image_id': '8fcfc97a-b58c-4f5a-a616-d2af5599398f', 'diagnostic_weight_epsilon': 1.0, 'range_penalty_factor': 0.5, 'node_costs': {'NO_COST': 0.0, 'MINOR': 0.65, 'GENERAL': 0.75, 'SEVERE': 1.0, 'NO_MATCH': 1.5, 'IMPOSSIBLE': 10.0}, 'features': ['normalized_x', 'normalized_y', 'distance_to_centroid', 'horizontal_direction', 'vertical_direction', 'angle_with_ox', 'junction_angle_min', 'is_endpoint', 'is_corner', 'length_ratio_to_max', 'eccentricity', 'avg_neighbor_vector_length', 'neighbor_endpoint_count', 'neighbor_junction_count'], 'mlflow_experiment_id': '4', 'mlflow_run_id': 'b586b24a868744d3aff0659ed46c898f', 'session_id': '53762c64-0b30-48c2-8dbe-4c99f40e4d3e', 'image_width': 100, 'image_height': 100}","{'skeletonization_time_ms': 52.502667, 'contour_analysis_time_ms': 1382.585876, 'classification_time_ms': 6109.89392}",6,False
error,41e85bc6-70a9-4d1b-84d4-92d0b57ec9df,DLQ,/opt/nuclio/shared_storage/mnist_all/1/mnist_test_1_00905.png,1,[],,,,
success,8a44a1ec-0fd8-45b5-92c0-5bcf0aa3d348,,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00424.png,0,"[{""concept_id"": ""6_1"", ""is_minor"": true, ""message"": ""Similarity between image and concept 6_1: 0.5511"", ""similarity"": 0.5511, ""concept_complexity"": 20, ""image_complexity"": 28}, {""concept_id"": ""0_1"", ""is_minor"": true, ""message"": ""Similarity between image and concept 0_1: 0.5296"", ""similarity"": 0.5296, ""concept_complexity"": 20, ""image_complexity"": 28}, {""concept_id"": ""8_1"", ""is_minor"": true, ""message"": ""Similarity between image and concept 8_1: 0.4598"", ""similarity"": 0.4598, ""concept_complexity"": 27, ""image_complexity"": 28}, {""concept_id"": ""4_1"", ""is_minor"": true, ""message"": ""Similarity between image and concept 4_1: 0.4607"", ""similarity"": 0.4607, ""concept_complexity"": 16, ""image_complexity"": 28}, {""concept_id"": ""9_2"", ""is_minor"": true, ""message"": ""Similarity between image and concept 9_2: 0.4379"", ""similarity"": 0.4379, ""concept_complexity"": 16, ""image_complexity"": 28}, {""concept_id"": ""1_1"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""1_3"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""2_1"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""2_2"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has corner points but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""3_1"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""4_2"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""5_1"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""7_1"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""8_2"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}]","{'ged_timeout': 5, 'skeletonization_threshold': 110, 'simplification_epsilon': 4.55, 'comparison_method': 'ged', 'fgw_alpha': 0.5, 'image_path': '/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00424.png', 'image_id': '8a44a1ec-0fd8-45b5-92c0-5bcf0aa3d348', 'diagnostic_weight_epsilon': 1.0, 'range_penalty_factor': 0.5, 'node_costs': {'NO_COST': 0.0, 'MINOR': 0.65, 'GENERAL': 0.75, 'SEVERE': 1.0, 'NO_MATCH': 1.5, 'IMPOSSIBLE': 10.0}, 'features': ['normalized_x', 'normalized_y', 'distance_to_centroid', 'horizontal_direction', 'vertical_direction', 'angle_with_ox', 'junction_angle_min', 'is_endpoint', 'is_corner', 'length_ratio_to_max', 'eccentricity', 'avg_neighbor_vector_length', 'neighbor_endpoint_count', 'neighbor_junction_count'], 'mlflow_experiment_id': '4', 'mlflow_run_id': 'b586b24a868744d3aff0659ed46c898f', 'session_id': '4d78b858-a598-4aea-9f74-d096686a23b9', 'image_width': 100, 'image_height': 100}","{'skeletonization_time_ms': 67.522125, 'contour_analysis_time_ms': 1565.114361, 'classification_time_ms': 790.287209}",6,False
success,095b3d8f-630e-4297-bc1e-bb60eb0a8920,,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00531.png,0,"[{""concept_id"": ""8_1"", ""is_minor"": true, ""message"": ""Similarity between image and concept 8_1: 0.5306"", ""similarity"": 0.5306, ""concept_complexity"": 27, ""image_complexity"": 36}, {""concept_id"": ""0_1"", ""is_minor"": true, ""message"": ""Similarity between image and concept 0_1: 0.5272"", ""similarity"": 0.5272, ""concept_complexity"": 20, ""image_complexity"": 36}, {""concept_id"": ""6_1"", ""is_minor"": true, ""message"": ""Similarity between image and concept 6_1: 0.4918"", ""similarity"": 0.4918, ""concept_complexity"": 20, ""image_complexity"": 36}, {""concept_id"": ""9_2"", ""is_minor"": true, ""message"": ""Similarity between image and concept 9_2: 0.472"", ""similarity"": 0.472, ""concept_complexity"": 16, ""image_complexity"": 36}, {""concept_id"": ""4_1"", ""is_minor"": true, ""message"": ""Similarity between image and concept 4_1: 0.4563"", ""similarity"": 0.4563, ""concept_complexity"": 16, ""image_complexity"": 36}, {""concept_id"": ""1_1"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""1_3"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""2_1"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""2_2"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has corner points but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""3_1"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""4_2"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""5_1"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""7_1"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""8_2"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}]","{'ged_timeout': 5, 'skeletonization_threshold': 110, 'simplification_epsilon': 4.55, 'comparison_method': 'ged', 'fgw_alpha': 0.5, 'image_path': '/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00531.png', 'image_id': '095b3d8f-630e-4297-bc1e-bb60eb0a8920', 'diagnostic_weight_epsilon': 1.0, 'range_penalty_factor': 0.5, 'node_costs': {'NO_COST': 0.0, 'MINOR': 0.65, 'GENERAL': 0.75, 'SEVERE': 1.0, 'NO_MATCH': 1.5, 'IMPOSSIBLE': 10.0}, 'features': ['normalized_x', 'normalized_y', 'distance_to_centroid', 'horizontal_direction', 'vertical_direction', 'angle_with_ox', 'junction_angle_min', 'is_endpoint', 'is_corner', 'length_ratio_to_max', 'eccentricity', 'avg_neighbor_vector_length', 'neighbor_endpoint_count', 'neighbor_junction_count'], 'mlflow_experiment_id': '4', 'mlflow_run_id': 'b586b24a868744d3aff0659ed46c898f', 'session_id': 'c2deabcc-cf32-4fd3-8d4f-0880ba3c92af', 'image_width': 100, 'image_height': 100}","{'skeletonization_time_ms': 94.5495, 'contour_analysis_time_ms': 2150.04271, 'classification_time_ms': 9611.494879}",8,False
error,650c671f-97bb-4fb1-b4ff-f046336bb02c,DLQ,/opt/nuclio/shared_storage/mnist_all/4/mnist_test_4_00650.png,4,[],,,,
success,87c6a371-4154-453d-890b-2c88fa99dc5c,,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00705.png,0,"[{""concept_id"": ""6_1"", ""is_minor"": true, ""message"": ""Similarity between image and concept 6_1: 0.6124"", ""similarity"": 0.6124, ""concept_complexity"": 20, ""image_complexity"": 28}, {""concept_id"": ""0_1"", ""is_minor"": true, ""message"": ""Similarity between image and concept 0_1: 0.5889"", ""similarity"": 0.5889, ""concept_complexity"": 20, ""image_complexity"": 28}, {""concept_id"": ""8_1"", ""is_minor"": true, ""message"": ""Similarity between image and concept 8_1: 0.5008"", ""similarity"": 0.5008, ""concept_complexity"": 27, ""image_complexity"": 28}, {""concept_id"": ""9_2"", ""is_minor"": true, ""message"": ""Similarity between image and concept 9_2: 0.5204"", ""similarity"": 0.5204, ""concept_complexity"": 16, ""image_complexity"": 28}, {""concept_id"": ""4_1"", ""is_minor"": true, ""message"": ""Similarity between image and concept 4_1: 0.4867"", ""similarity"": 0.4867, ""concept_complexity"": 16, ""image_complexity"": 28}, {""concept_id"": ""1_1"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""1_3"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""2_1"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""2_2"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has corner points but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""3_1"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""4_2"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""5_1"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""7_1"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""8_2"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}]","{'ged_timeout': 5, 'skeletonization_threshold': 110, 'simplification_epsilon': 4.55, 'comparison_method': 'ged', 'fgw_alpha': 0.5, 'image_path': '/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00705.png', 'image_id': '87c6a371-4154-453d-890b-2c88fa99dc5c', 'diagnostic_weight_epsilon': 1.0, 'range_penalty_factor': 0.5, 'node_costs': {'NO_COST': 0.0, 'MINOR': 0.65, 'GENERAL': 0.75, 'SEVERE': 1.0, 'NO_MATCH': 1.5, 'IMPOSSIBLE': 10.0}, 'features': ['normalized_x', 'normalized_y', 'distance_to_centroid', 'horizontal_direction', 'vertical_direction', 'angle_with_ox', 'junction_angle_min', 'is_endpoint', 'is_corner', 'length_ratio_to_max', 'eccentricity', 'avg_neighbor_vector_length', 'neighbor_endpoint_count', 'neighbor_junction_count'], 'mlflow_experiment_id': '4', 'mlflow_run_id': 'b586b24a868744d3aff0659ed46c898f', 'session_id': 'c7241201-05ba-4b7d-a935-57430aea9642', 'image_width': 100, 'image_height': 100}","{'skeletonization_time_ms': 68.644292, 'contour_analysis_time_ms': 1278.678126, 'classification_time_ms': 520.280709}",6,False
success,21de06a9-2216-4b1e-80e0-85e6379eff9a,,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00045.png,0,"[{""concept_id"": ""6_1"", ""is_minor"": true, ""message"": ""Similarity between image and concept 6_1: 0.5702"", ""similarity"": 0.5702, ""concept_complexity"": 20, ""image_complexity"": 28}, {""concept_id"": ""0_1"", ""is_minor"": true, ""message"": ""Similarity between image and concept 0_1: 0.5685"", ""similarity"": 0.5685, ""concept_complexity"": 20, ""image_complexity"": 28}, {""concept_id"": ""4_1"", ""is_minor"": true, ""message"": ""Similarity between image and concept 4_1: 0.5212"", ""similarity"": 0.5212, ""concept_complexity"": 16, ""image_complexity"": 28}, {""concept_id"": ""9_2"", ""is_minor"": true, ""message"": ""Similarity between image and concept 9_2: 0.5142"", ""similarity"": 0.5142, ""concept_complexity"": 16, ""image_complexity"": 28}, {""concept_id"": ""8_1"", ""is_minor"": true, ""message"": ""Similarity between image and concept 8_1: 0.453"", ""similarity"": 0.453, ""concept_complexity"": 27, ""image_complexity"": 28}, {""concept_id"": ""1_1"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""1_3"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""2_1"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""2_2"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has corner points but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""3_1"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""4_2"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""5_1"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""7_1"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""8_2"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}]","{'ged_timeout': 5, 'skeletonization_threshold': 110, 'simplification_epsilon': 4.55, 'comparison_method': 'ged', 'fgw_alpha': 0.5, 'image_path': '/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00045.png', 'image_id': '21de06a9-2216-4b1e-80e0-85e6379eff9a', 'diagnostic_weight_epsilon': 1.0, 'range_penalty_factor': 0.5, 'node_costs': {'NO_COST': 0.0, 'MINOR': 0.65, 'GENERAL': 0.75, 'SEVERE': 1.0, 'NO_MATCH': 1.5, 'IMPOSSIBLE': 10.0}, 'features': ['normalized_x', 'normalized_y', 'distance_to_centroid', 'horizontal_direction', 'vertical_direction', 'angle_with_ox', 'junction_angle_min', 'is_endpoint', 'is_corner', 'length_ratio_to_max', 'eccentricity', 'avg_neighbor_vector_length', 'neighbor_endpoint_count', 'neighbor_junction_count'], 'mlflow_experiment_id': '4', 'mlflow_run_id': 'b586b24a868744d3aff0659ed46c898f', 'session_id': '49f0a7e4-e381-44bb-8c5d-88b5e19c0589', 'image_width': 100, 'image_height': 100}","{'skeletonization_time_ms': 84.642959, 'contour_analysis_time_ms': 1693.362876, 'classification_time_ms': 2425.33746}",6,False
success,00efe7b3-cc8c-40f9-a11f-b5f653ae63bf,,/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00658.png,0,"[{""concept_id"": ""6_1"", ""is_minor"": true, ""message"": ""Similarity between image and concept 6_1: 0.5843"", ""similarity"": 0.5843, ""concept_complexity"": 20, ""image_complexity"": 32}, {""concept_id"": ""8_1"", ""is_minor"": true, ""message"": ""Similarity between image and concept 8_1: 0.5301"", ""similarity"": 0.5301, ""concept_complexity"": 27, ""image_complexity"": 32}, {""concept_id"": ""0_1"", ""is_minor"": true, ""message"": ""Similarity between image and concept 0_1: 0.5549"", ""similarity"": 0.5549, ""concept_complexity"": 20, ""image_complexity"": 32}, {""concept_id"": ""9_2"", ""is_minor"": true, ""message"": ""Similarity between image and concept 9_2: 0.5041"", ""similarity"": 0.5041, ""concept_complexity"": 16, ""image_complexity"": 32}, {""concept_id"": ""4_1"", ""is_minor"": true, ""message"": ""Similarity between image and concept 4_1: 0.4681"", ""similarity"": 0.4681, ""concept_complexity"": 16, ""image_complexity"": 32}, {""concept_id"": ""1_1"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""1_3"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""2_1"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""2_2"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has corner points but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""3_1"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""4_2"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""5_1"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""7_1"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}, {""concept_id"": ""8_2"", ""is_minor"": false, ""message"": ""Preprocessing failed: Concept has endpoints but image does not."", ""similarity"": 0.0, ""concept_complexity"": 0, ""image_complexity"": 0}]","{'ged_timeout': 5, 'skeletonization_threshold': 110, 'simplification_epsilon': 4.55, 'comparison_method': 'ged', 'fgw_alpha': 0.5, 'image_path': '/opt/nuclio/shared_storage/mnist_all/0/mnist_test_0_00658.png', 'image_id': '00efe7b3-cc8c-40f9-a11f-b5f653ae63bf', 'diagnostic_weight_epsilon': 1.0, 'range_penalty_factor': 0.5, 'node_costs': {'NO_COST': 0.0, 'MINOR': 0.65, 'GENERAL': 0.75, 'SEVERE': 1.0, 'NO_MATCH': 1.5, 'IMPOSSIBLE': 10.0}, 'features': ['normalized_x', 'normalized_y', 'distance_to_centroid', 'horizontal_direction', 'vertical_direction', 'angle_with_ox', 'junction_angle_min', 'is_endpoint', 'is_corner', 'length_ratio_to_max', 'eccentricity', 'avg_neighbor_vector_length', 'neighbor_endpoint_count', 'neighbor_junction_count'], 'mlflow_experiment_id': '4', 'mlflow_run_id': 'b586b24a868744d3aff0659ed46c898f', 'session_id': '2e302bb1-6cee-40b2-a85e-c72c59068e8c', 'image_width': 100, 'image_height': 100}","{'skeletonization_time_ms': 48.069166, 'contour_analysis_time_ms': 1241.840209, 'classification_time_ms': 6411.356212}",6,False
error,c64dfa77-9b99-463e-86e6-4e2173b8c11c,DLQ,/opt/nuclio/shared_storage/mnist_all/7/mnist_test_7_00788.png,7,[],,,,
