class,precision,recall,f1_score,support
0,96.09756097560975,95.16908212560386,95.63106796116504,207
1,98.0,87.5,92.45283018867924,280
2,89.39393939393939,74.05857740585773,81.00686498855835,239
3,91.62995594713657,85.9504132231405,88.69936034115139,242
4,72.5,97.8902953586498,83.30341113105925,237
5,93.51351351351352,86.93467336683418,90.10416666666666,199
6,80.27522935779817,94.5945945945946,86.848635235732,185
7,78.94736842105263,83.33333333333334,81.08108108108108,252
8,90.0,81.25,85.40145985401459,144
9,97.63313609467455,90.1639344262295,93.75,183
