Назва,Пояснення
Нормалізована x-координата,"Горизонтальна координата вузла, нормалізована відносно центру маси зображення; визначає горизонтальне положення критичної точки скелета у полі зображення."
Нормалізована y-координата,"Вертикальна координата вузла, нормалізована відносно центру маси зображення; визначає вертикальне положення критичної точки скелета."
Відстань до центроїда,Нормалізована радіальна відстань вузла від центру маси зображення; розрізняє точки в центральній зоні скелета та на периферії.
Кут із віссю OX,"Орієнтаційний кут сегмента у градусах для сегментних вузлів або кут сходження сусідніх сегментів для точкових вузлів; інваріантний дескриптор форми відрізка."
Ознака кінцевого вузла,"Бінарна ознака; стверджувальне значення свідчить, що ступінь вершини дорівнює одиниці, тобто вузол є кінцем відрізка."
Ознака кутового вузла,"Бінарна ознака; стверджувальне значення свідчить, що у вузлі реєструється злам напрямку, який перевищує заданий поріг."
Мінімальний кут розгалуження,"Найменший внутрішній кут між сегментами, що сходяться у точці-розгалуженні; розрізняє ""гострі"" та ""розкриті"" розгалуження скелета."
Кількість сусідніх кінцевих вузлів,Число сусідніх точкових вузлів з ознакою кінцевого вузла; характеризує локальну насиченість тупиковими гілками поблизу вузла.
Кількість сусідніх вузлів-розгалужень,Число сусідніх точкових вузлів з ознакою точки розгалуження; розрізняє вузли поблизу складних структурних з'єднань.
Середня довжина сусідніх сегментів,Середня нормалізована довжина сегментів-сусідів точкового вузла; характеризує локальний геометричний масштаб області навколо точки.
Горизонтальний напрямок сегмента,Категорійна ознака для сегментних вузлів; показує бік розгортання сегмента уздовж осі OX (ліворуч або праворуч).
Вертикальний напрямок сегмента,Категорійна ознака для сегментних вузлів; показує напрям сегмента уздовж осі OY (вгору або вниз).
Відносна довжина сегмента,"Відношення довжини сегментного вузла до найдовшого сегмента у графі; розрізняє магістральні відрізки та короткі сполучні."
Графова ексцентричність,"Максимальна відстань (у ребрах) від вузла до будь-якого іншого вузла графа; кінцеві вузли мають високу ексцентричність, центральні — низьку."
