node_id,labels,params,relation_count,iteration
64,['QuadrantChange'],{},6,0
65,['VectDirection'],{'direction': 'Clockwise'},6,0
66,['VectLonger'],{},4,0
36,['VectorOrientation'],"{'vector_id': '0acf39e5-afa8-4325-9111-459d8a28c035', 'image_id': 'dc45c04e-2481-4a9d-97e0-cdd5e5c0b2a2'}",2,0
37,['VectorOrientation'],"{'vector_id': '0503d95b-ed46-4a51-b870-d437be47d1bd', 'image_id': 'dc45c04e-2481-4a9d-97e0-cdd5e5c0b2a2'}",2,0
38,['VectorOrientation'],"{'vector_id': '007b02a4-5692-407b-807c-81cf366ca5ff', 'image_id': 'dc45c04e-2481-4a9d-97e0-cdd5e5c0b2a2'}",2,0
58,['HorizontalVectorHalfPlane'],{'horizontal_plane': 'Upper'},2,0
61,['VerticalVectorHalfPlane'],{'vertical_plane': 'Right'},2,0
69,['VectShorter'],{},2,0
21,['AnglePointCoordinates'],"{'x': 3, 'y': 78}",1,0
23,['AnglePointCoordinates'],"{'x': 45, 'y': 94}",1,0
25,['AnglePointCoordinates'],"{'x': 66, 'y': 1}",1,0
27,['AnglePointAngle'],{'angle': 70},1,0
28,['AnglePointAngle'],{'angle': 80},1,0
29,['AnglePointAngle'],{'angle': 25},1,0
39,['VectorAngle'],{'value': 21.44773632710535},1,0
40,['VectorAngle'],{'value': 129.66784111834045},1,0
41,['VectorAngle'],{'value': 103.17255342332689},1,0
42,['VectorCoordinates'],"{'y1': 94, 'x1': 45, 'y2': 78, 'x2': 3}",1,0
43,['VectorCoordinates'],"{'y1': 78, 'x1': 3, 'y2': 94, 'x2': 45}",1,0
44,['VectorCoordinates'],"{'y1': 78, 'x1': 3, 'y2': 1, 'x2': 66}",1,0
45,['VectorCoordinates'],"{'y1': 1, 'x1': 66, 'y2': 78, 'x2': 3}",1,0
46,['VectorCoordinates'],"{'y1': 1, 'x1': 66, 'y2': 94, 'x2': 45}",1,0
47,['VectorCoordinates'],"{'y1': 94, 'x1': 45, 'y2': 1, 'x2': 66}",1,0
51,['VectorMagnitude'],{'value': 44.94441010848846},1,0
52,['VectorMagnitude'],{'value': 99.48869282486326},1,0
